1,202304,20230501,13
3,202304,20230501,2
4,202304,20230501,40
6,202304,20230501,18
7,202304,20230501,9
10,202304,20230501,26
11,202304,20230501,7
12,202304,20230501,36
14,202304,20230501,19
16,202304,20230501,50
18,202304,20230501,33
21,202304,20230501,11
24,202304,20230501,42
27,202304,20230501,15
29,202304,20230501,23
30,202304,20230501,32
31,202304,20230501,6
33,202304,20230501,21
34,202304,20230501,39
37,202304,20230501,17
38,202304,20230501,25
40,202304,20230501,35
41,202304,20230501,8
42,202304,20230501,37
44,202304,20230501,16
47,202304,20230501,20
48,202304,20230501,38
50,202304,20230501,24
1,202305,20230601,34
3,202305,20230601,22
4,202305,20230601,54
6,202305,20230601,58
7,202305,20230601,27
10,202305,20230601,48
11,202305,20230601,30
12,202305,20230601,67
14,202305,20230601,45
16,202305,20230601,73
18,202305,20230601,57
21,202305,20230601,29
24,202305,20230601,55
27,202305,20230601,41
29,202305,20230601,50
30,202305,20230601,62
31,202305,20230601,23
33,202305,20230601,44
34,202305,20230601,51
37,202305,20230601,47
38,202305,20230601,49
40,202305,20230601,65
41,202305,20230601,31
42,202305,20230601,61
44,202305,20230601,42
47,202305,20230601,43
48,202305,20230601,59
50,202305,20230601,52
1,202306,20230701,73
3,202306,20230701,56
4,202306,20230701,87
6,202306,20230701,101
7,202306,20230701,67
10,202306,20230701,95
11,202306,20230701,65
12,202306,20230701,102
14,202306,20230701,78
16,202306,20230701,116
18,202306,20230701,92
21,202306,20230701,70
24,202306,20230701,90
27,202306,20230701,84
29,202306,20230701,94
30,202306,20230701,103
31,202306,20230701,57
33,202306,20230701,79
34,202306,20230701,88
37,202306,20230701,81
38,202306,20230701,85
40,202306,20230701,106
41,202306,20230701,69
42,202306,20230701,99
44,202306,20230701,77
47,202306,20230701,80
48,202306,20230701,93
50,202306,20230701,91
